Key,en,es,ar,fr,hi
Gateway currency not found,Gateway currency not found,Moneda de puerta de enlace no encontrada,لم يتم العثور على عملة البوابة,Devise de la passerelle introuvable,गेटवे मुद्रा नहीं मिली
Render Failed! Please call with valid gateway/credentials,Render Failed! Please call with valid gateway/credentials,¡Error de renderizado! Por favor llame con puerta de enlace/credenciales válidas,فشل العرض! يرجى الاتصال باستخدام بوابة/بيانات اعتماد صالحة,Échec du rendu ! Veuillez appeler avec une passerelle/des informations d'identification valides,रेंडर विफल! कृपया वैध गेटवे/क्रेडेंशियल्स के साथ कॉल करें
Request user doesn\'t save properly. Please try again,Request user doesn\'t save properly. Please try again,El usuario solicitado no se guarda correctamente. Por favor inténtalo de nuevo,طلب المستخدم لا يحفظ بشكل صحيح. يرجى المحاولة مرة أخرى,L'utilisateur demandé n'enregistre pas correctement. Veuillez réessayer,अनुरोध उपयोगकर्ता ठीक से सहेज नहीं पाता है। कृपया पुन: प्रयास करें
Transaction Failed. Gateway currency not available,Transaction Failed. Gateway currency not available,La transacción falló. Moneda de puerta de enlace no disponible,فشلت الصفقة. عملة البوابة غير متوفرة,Échec de la transaction. Devise de la passerelle non disponible,लेन - देन विफल। गेटवे मुद्रा उपलब्ध नहीं है
Something went wrong! Gateway render failed. Please call gateway() method before calling api() method,Something went wrong! Gateway render failed. Please call gateway() method before calling api() method,¡Algo salió mal! Error al procesar la puerta de enlace. Llame al método gateway() antes de llamar al método api(),حدث خطأ ما! فشل تقديم البوابة. يرجى الاتصال بطريقة البوابة () قبل استدعاء طريقة api ().,Quelque chose s'est mal passé ! Le rendu de la passerelle a échoué. Veuillez appeler la méthode gateway() avant d'appeler la méthode api(),कुछ गलत हो गया! गेटवे रेंडर विफल रहा. कृपया एपीआई() विधि को कॉल करने से पहले गेटवे() विधि को कॉल करें
Something went wrong! Failed to make URL Params.,Something went wrong! Failed to make URL Params.,¡Algo salió mal! No se pudieron crear los parámetros de URL.,حدث خطأ ما! فشل في إنشاء معلمات URL.,Quelque chose s'est mal passé ! Échec de la création des paramètres d'URL.,कुछ गलत हो गया! यूआरएल पैरामीटर बनाने में विफल.
Gateway not found,Gateway not found,Puerta de enlace no encontrada,لم يتم العثور على البوابة,Passerelle introuvable,गेटवे नहीं मिला
Failed to create developer API. Something went wrong!,Failed to create developer API. Something went wrong!,No se pudo crear la API de desarrollador. ¡Algo salió mal!,فشل في إنشاء واجهة برمجة تطبيقات المطور. حدث خطأ ما!,Échec de la création de l'API du développeur. Quelque chose s'est mal passé !,डेवलपर API बनाने में विफल. कुछ गलत हो गया!
Failed to create Gateway Settings. Something went wrong!,Failed to create Gateway Settings. Something went wrong!,No se pudo crear la configuración de la puerta de enlace. ¡Algo salió mal!,فشل في إنشاء إعدادات البوابة. حدث خطأ ما!,Échec de la création des paramètres de passerelle. Quelque chose s'est mal passé !,गेटवे सेटिंग बनाने में विफल. कुछ गलत हो गया!
Failed to create wallet! Please try again,Failed to create wallet! Please try again,¡No se pudo crear la billetera! Por favor inténtalo de nuevo,فشل في إنشاء المحفظة! يرجى المحاولة مرة أخرى,Échec de la création du portefeuille ! Veuillez réessayer,बटुआ बनाने में विफल! कृपया पुन: प्रयास करें
Payment gateway not available,Payment gateway not available,Pasarela de pago no disponible,بوابة الدفع غير متوفرة,Passerelle de paiement non disponible,भुगतान गेटवे उपलब्ध नहीं है
Oops! Request endpoint not registered!,Oops! Request endpoint not registered!,¡Ups! ¡Solicitud de punto final no registrado!,أُووبس! طلب نقطة النهاية غير مسجلة!,Oups ! Point de terminaison de la demande non enregistré !,उफ़! अनुरोध समापन बिंदु पंजीकृत नहीं है!
Add Money request send to admin successfully,Add Money request send to admin successfully,Agregar solicitud de dinero enviada al administrador con éxito,تم إرسال طلب إضافة أموال إلى المشرف بنجاح,La demande d'ajout d'argent a été envoyée à l'administrateur avec succès,"धन अनुरोध जोड़ें, व्यवस्थापक को सफलतापूर्वक भेजें"
Transaction failed. Payment captured failed.,Transaction failed. Payment captured failed.,La transacción falló. El pago capturado falló.,فشلت المعاملة. فشل القبض على الدفع.,La transaction a échoué. Le paiement capturé a échoué.,लेन - देन विफल। भुगतान प्राप्त करना विफल रहा.
Payment From PayLink,Payment From PayLink,Pago desde PayLink,الدفع من PayLink,Paiement depuis PayLink,पेलिंक से भुगतान
Successful,Successful,Exitoso,ناجح,Réussi,सफल
Gateway is not available right now! Please contact with system administration,Gateway is not available right now! Please contact with system administration,¡La puerta de enlace no está disponible en este momento! Por favor contacte con la administración del sistema.,البوابة غير متوفرة الآن! يرجى التواصل مع إدارة النظام,La passerelle n'est pas disponible pour le moment ! Veuillez contacter l'administration du système,गेटवे अभी उपलब्ध नहीं है! कृपया सिस्टम प्रशासन से संपर्क करें
No Action Executed!,No Action Executed!,¡No se ejecutó ninguna acción!,لم يتم تنفيذ أي إجراء!,Aucune action exécutée !,कोई कार्रवाई अमल में नहीं लाई गई!
Can't change anything for demo application,Can't change anything for demo application,No se puede cambiar nada para la aplicación de demostración,لا يمكن تغيير أي شيء للتطبيق التجريبي,Je ne peux rien changer pour l'application de démonstration,डेमो एप्लिकेशन के लिए कुछ भी नहीं बदला जा सकता
Can't deletable system super admin,Can't deletable system super admin,No se puede eliminar el superadministrador del sistema,لا يمكن حذف المشرف المتميز للنظام,Impossible de supprimer le super-administrateur système,सिस्टम सुपर एडमिन को हटाया नहीं जा सकता
